key,woeid,yahoo_name
1267708,2295047,Karnal
1267755,2295185,Karimnagar
1268084,2290634,Kangra
1268561,2295230,Kakinada
1268782,2295389,Jalandhar
1268865,2295392,Jodhpur
1268977,2294867,Jharsuguda
1269006,2295043,Jhansi
1269317,2295085,Jamnagar
1269321,2294956,Jammu
1269515,2295401,Jaipur
1269633,2295406,Jabalpur
1269743,2295408,Indore
1270022,2295051,Hisar
1270396,2295385,Howrah
1270583,2295400,Gwalior
1270642,2295020,Gurgaon
1270668,2295243,Guntur
1270927,2294797,Gorakhpur
1271308,2295394,Ghaziabad
1271715,2295126,Gandhinagar
1271883,2294957,Firozpur
1271951,2295396,Faridabad
1272013,2295313,Erode
1272051,2295234,Eluru
1272543,2295337,Dindigul
1272648,2294847,Dibrugarh
1272691,2295101,Dhule
1272818,2295416,Dharwad
1272979,2294886,Dhanbad
1273780,2294940,Cuttack
1273865,2295422,Coimbatore
1274033,2295279,Chittoor
1274746,2295391,Chandigarh
1274987,2295301,Kannur
1275004,2295386,Kolkata
1275198,2295220,Brahmapur
1275339,2295411,Mumbai
1275362,2278709,Bokaro
1275637,2294865,Bilaspur
1275665,2294989,Bikaner
1275841,2295407,Bhopal
1276032,2295090,Bhavnagar
1276100,2295094,Bharuch
1276509,2295218,Ballari
1276533,2295172,Belagavi
1277013,2295397,Bareilly
1277029,2294909,Barddhaman
1277333,2295420,Bengaluru
1278149,2295191,Aurangabad
1278593,2290104,Anugul
1278672,2295259,Anantapur
1278685,2295083,Anand
1278710,2295388,Amritsar
1278946,2295058,Alwar
1278985,2294673,Alappuzha
1278994,2295379,Allahabad
1279017,2295398,Aligarh
1279159,2294994,Ajmer
1279233,2295402,Ahmedabad
1279259,2295399,Agra
1280737,2144789,Lhasa
1280849,2143696,Kashi
1280957,2145613,Jiayuguan
1529102,2143692,Urumqi
1529114,2143712,Turpan
1529484,2143695,Hami
1529651,2143700,Altay
1562414,1252672,Vung Tau
1562538,1252660,Vi Thanh
1562798,1252662,Vinh
1563281,1252649,Chau Thanh
1563287,1252651,Tuyen Kang
1563926,1252558,Tra Vinh
1566083,1252431,Ho Chi Minh City
1566166,1252608,Thanh Hoa
1566319,1252605,Bac Thai
1566346,1252604,Kua Loc
1567788,1246179,Soc Trang
1568510,1252585,Rach Gia
1568770,1252578,Quang Ngai
1571058,1252537,Phan Thiet
1571968,1252523,Ninbinh
1573517,1252512,Nam Dinh
1574023,1252498,My Tho
1576633,1240015,Lang Son
1580541,1252436,Hoi An
1581047,1252422,Ha Tinh
1581349,1252420,Ha Giang
1583468,1252387,Kanh-Hoa
1583992,1252376,Da Nang
1586203,1252351,Can Tho
1604769,1226222,Yasothon
1604870,1226220,Yala
1605239,1225122,Udon Thani
1605245,1226203,Ubon Ratchathani
1606588,1226147,Samut Sakhon
1607532,1226105,Phra Nakhon Si Ayutthaya
1607983,1225557,Pathum Thani
1608133,1226072,Nonthaburi
1609350,1225448,Bangkok
1609776,1226003,Khon Kaen
1611110,1225961,Chon Buri
1611439,1225941,Chachoengsao
1618326,1206449,Ban Khlong Hoi Khong
1622786,1046138,Makassar
1624725,1048547,Tarakan
1626916,1048391,Singkawang
1629001,1048270,Samarinda
1630328,1048188,Purwokerto
1630634,1048176,Probolinggo
1630789,1048167,Pontianak
